2020 National Employment Matrix title,2020 National Employment Matrix code,Occupation type,"Employment, 2020","Employment, 2030","Employment change, 2020-30","Percent employment change, 2020-30","Percent self employed, 2020","Occupational openings, 2020-30 annual average",Median annual wage 2020,Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Insurance appraisers, auto damage",13-1032,Line item,15.6,15.7,0.1,0.6,2.3,1.2,65550,Postsecondary nondegree award,None,Moderate-term on-the-job training
Compliance officers,13-1041,Line item,348.7,370.3,21.6,6.2,0.8,30,71100,Bachelor's degree,None,Moderate-term on-the-job training
Cost estimators,13-1051,Line item,199.4,200.6,1.2,0.6,0.2,17.8,66610,Bachelor's degree,None,Moderate-term on-the-job training
Human resources workers,13-1070,Summary,748.6,815.6,67.1,9,1.8,79.9,64070,—,—,—
Human resources specialists,13-1071,Line item,674.8,745.1,70.2,10.4,1.8,73.4,63490,Bachelor's degree,None,None
Farm labor contractors,13-1074,Line item,0.2,0.3,0,10.6,—,0,47780,No formal educational credential,Less than 5 years,Short-term on-the-job training
Labor relations specialists,13-1075,Line item,73.5,70.3,-3.2,-4.3,2,6.4,73240,Bachelor's degree,Less than 5 years,None
Logisticians,13-1081,Line item,191,247.3,56.4,29.5,1.6,24.5,76270,Bachelor's degree,None,None
Management analysts,13-1111,Line item,907.6,"1,032.00",124.4,13.7,15.8,99.4,87660,Bachelor's degree,Less than 5 years,None
"Meeting, convention, and event planners",13-1121,Line item,125.9,148,22.1,17.5,3.7,16.4,51560,Bachelor's degree,None,None
Fundraisers,13-1131,Line item,101.3,117.5,16.1,15.9,2,12,59610,Bachelor's degree,None,None
"Compensation, benefits, and job analysis specialists",13-1141,Line item,91.9,100.7,8.8,9.6,0.3,9.4,67190,Bachelor's degree,Less than 5 years,None
Training and development specialists,13-1151,Line item,328.7,364.2,35.5,10.8,0.3,35.2,62700,Bachelor's degree,Less than 5 years,None
Market research analysts and marketing specialists,13-1161,Line item,740.9,904.5,163.6,22.1,4.4,96,65810,Bachelor's degree,None,None
"Project management specialists and business operations specialists, all other",13-1198,Line item,"1,777.30","1,876.50",99.2,5.6,14.4,141.9,77420,Bachelor's degree,None,None
Financial specialists,13-2000,Summary,"3,054.10","3,212.80",158.7,5.2,6.2,271.3,73840,—,—,—
Accountants and auditors,13-2011,Line item,"1,392.20","1,488.20",96,6.9,4.7,135,73560,Bachelor's degree,None,None
Property appraisers and assessors,13-2020,Line item,78.7,82.1,3.4,4.4,27.3,6.3,58650,Bachelor's degree,None,Long-term on-the-job training
Budget analysts,13-2031,Line item,52.5,55,2.5,4.8,—,4.3,78970,Bachelor's degree,None,None
Credit analysts,13-2041,Line item,73,68.8,-4.3,-5.8,0.1,5.5,74970,Bachelor's degree,None,None
Personal financial advisors,13-2052,Line item,275.2,287.8,12.6,4.6,19.9,21.5,89330,Bachelor's degree,None,Long-term on-the-job training
Insurance underwriters,13-2053,Line item,119.4,117.2,-2.2,-1.8,0.8,8.3,71790,Bachelor's degree,None,Moderate-term on-the-job training
Financial examiners,13-2061,Line item,70.8,83.5,12.7,17.9,0.5,6.9,81430,Bachelor's degree,None,Long-term on-the-job training
Credit counselors and loan officers,13-2070,Summary,355.9,363.2,7.3,2.1,2.1,28,61640,—,—,—
Credit counselors,13-2071,Line item,33.8,36.9,3,9,1.7,3,46170,Bachelor's degree,None,Moderate-term on-the-job training
Loan officers,13-2072,Line item,322.1,326.4,4.3,1.3,2.1,25,63960,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
"Tax examiners, collectors and preparers, and revenue agents",13-2080,Summary,144.3,143.6,-0.7,-0.5,16.5,14.3,50580,—,—,—
"Tax examiners and collectors, and revenue agents",13-2081,Line item,56.9,54.8,-2.1,-3.7,—,4.4,55640,Bachelor's degree,None,Moderate-term on-the-job training
Tax preparers,13-2082,Line item,87.4,88.8,1.4,1.6,27.3,9.8,44300,High school diploma or equivalent,None,Moderate-term on-the-job training
"Financial and investment analysts, financial risk specialists, and financial specialists, all other",13-2098,Line item,492.1,523.4,31.3,6.4,2.9,41,83660,Bachelor's degree,None,None
Computer and mathematical occupations,15-0000,Summary,"5,225.00","5,959.90",734.9,14.1,9.7,466.4,91350,—,—,—
Computer occupations,15-1200,Summary,"4,985.30","5,652.90",667.6,13.4,10.1,441.5,91250,—,—,—
Computer and information analysts,15-1210,Summary,749.1,838.9,89.8,12,2.4,63.9,95490,—,—,—
Computer systems analysts,15-1211,Line item,607.8,650.6,42.8,7,2.9,47.5,93730,Bachelor's degree,None,None
Information security analysts,15-1212,Line item,141.2,188.3,47.1,33.3,0.3,16.3,103590,Bachelor's degree,Less than 5 years,None
Computer and information research scientists,15-1221,Line item,33,40.2,7.2,21.9,3.7,3.2,126830,Master's degree,None,None
Computer support specialists,15-1230,Summary,844.6,916.8,72.2,8.6,0.9,70.4,55510,—,—,—
Computer network support specialists,15-1231,Line item,189.8,204,14.2,7.5,0.9,15.5,65450,Associate's degree,None,None
Computer user support specialists,15-1232,Line item,654.8,712.8,58,8.9,0.9,54.8,52690,"Some college, no degree",None,None
Database and network administrators and architects,15-1240,Summary,683.4,724.4,41,6,4.9,49.8,94380,—,—,—
Computer network architects,15-1241,Line item,165.2,174.2,9,5.5,2.1,11,116780,Bachelor's degree,5 years or more,None
Network and computer systems administrators,15-1244,Line item,350.3,369.1,18.8,5.4,0.4,24.9,84810,Bachelor's degree,None,None
Database administrators and architects,15-1245,Line item,168,181.2,13.2,7.8,16.9,13.9,98860,Bachelor's degree,None,None
"Software and web developers, programmers, and testers",15-1250,Summary,"2,233.00","2,649.60",416.6,18.7,17.1,216.8,105310,—,—,—
Computer programmers,15-1251,Line item,185.7,167.3,-18.3,-9.9,2.2,9.7,89190,Bachelor's degree,None,None
Software developers and software quality assurance analysts and testers,15-1256,Line item,"1,847.90","2,257.40",409.5,22.2,18.5,189.2,110140,Bachelor's degree,None,None
Web developers and digital interface designers,15-1257,Line item,199.4,224.9,25.5,12.8,17.7,17.9,77200,Bachelor's degree,None,None
"Computer occupations, all other",15-1299,Line item,442.2,483,40.7,9.2,14,37.5,92870,Bachelor's degree,None,None
Mathematical science occupations,15-2000,Summary,239.8,307,67.2,28,1.5,24.8,93170,—,—,—
Actuaries,15-2011,Line item,27.7,34.5,6.8,24.5,2,2.4,111030,Bachelor's degree,None,Long-term on-the-job training
Mathematicians,15-2021,Line item,2.7,2.8,0.1,2.7,—,0.2,110860,Master's degree,None,None
Operations research analysts,15-2031,Line item,104.1,129.7,25.6,24.6,0.3,10.2,86200,Bachelor's degree,None,None
Statisticians,15-2041,Line item,42,56.9,14.9,35.4,2.3,5,92270,Master's degree,None,None
"Data scientists and mathematical science occupations, all other",15-2098,Line item,63.2,83,19.8,31.4,2.8,7.1,98230,Bachelor's degree,None,None
Architecture and engineering occupations,17-0000,Summary,"2,603.00","2,748.90",146,5.6,2.1,207.4,83160,—,—,—
"Architects, surveyors, and cartographers",17-1000,Summary,209.6,214.9,5.3,2.6,12.8,16.2,76190,—,—,—
"Architects, except naval",17-1010,Summary,150.4,154.3,3.9,2.6,16.1,11,80350,—,—,—
"Architects, except landscape and naval",17-1011,Line item,126.7,130.7,3.9,3.1,16.8,9.4,82320,Bachelor's degree,None,Internship/residency
Landscape architects,17-1012,Line item,23.7,23.6,-0.1,-0.3,12.7,1.6,70630,Bachelor's degree,None,Internship/residency
"Surveyors, cartographers, and photogrammetrists",17-1020,Summary,59.2,60.6,1.5,2.5,4.2,5.2,66250,—,—,—
Cartographers and photogrammetrists,17-1021,Line item,13.2,13.9,0.7,5.4,3,1.2,68380,Bachelor's degree,None,None
Surveyors,17-1022,Line item,46,46.7,0.7,1.6,4.6,4,65590,Bachelor's degree,None,Internship/residency
Engineers,17-2000,Summary,"1,719.40","1,847.00",127.7,7.4,1.3,125.4,96310,—,—,—
Aerospace engineers,17-2011,Line item,61.4,66.5,5.1,8.3,—,4,118610,Bachelor's degree,None,None
Agricultural engineers,17-2021,Line item,1.5,1.5,0.1,4.5,—,0.1,84410,Bachelor's degree,None,None
Bioengineers and biomedical engineers,17-2031,Line item,19.3,20.5,1.1,5.9,—,1.4,92620,Bachelor's degree,None,None
Chemical engineers,17-2041,Line item,26.3,28.7,2.4,9.3,1,1.8,108540,Bachelor's degree,None,None
Civil engineers,17-2051,Line item,309.8,335.1,25.3,8.2,1.4,25,88570,Bachelor's degree,None,None
Computer hardware engineers,17-2061,Line item,66.2,67.3,1,1.5,1.2,4.5,119560,Bachelor's degree,None,None
Electrical and electronics engineers,17-2070,Summary,313.2,333.6,20.4,6.5,0.7,22.7,103390,—,—,—
Electrical engineers,17-2071,Line item,188,200.7,12.7,6.8,0.8,13.7,100830,Bachelor's degree,None,None
"Electronics engineers, except computer",17-2072,Line item,125.2,132.9,7.7,6.2,0.7,9,107540,Bachelor's degree,None,None
Environmental engineers,17-2081,Line item,52.3,54.3,1.9,3.7,2.3,4,92120,Bachelor's degree,None,None
"Industrial engineers, including health and safety",17-2110,Summary,316.1,357.6,41.4,13.1,0.1,25,89290,—,—,—
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,24.1,25.6,1.5,6.1,—,1.7,94240,Bachelor's degree,None,None
Industrial engineers,17-2112,Line item,292,332,40,13.7,0.1,23.3,88950,Bachelor's degree,None,None
Marine engineers and naval architects,17-2121,Line item,9.8,10.2,0.4,3.9,3.7,0.5,95440,Bachelor's degree,None,None
Materials engineers,17-2131,Line item,25.1,27.2,2.1,8.4,—,1.8,95640,Bachelor's degree,None,None
Mechanical engineers,17-2141,Line item,299.2,320.1,20.9,7,0.8,20.2,90160,Bachelor's degree,None,None
"Mining and geological engineers, including mining safety engineers",17-2151,Line item,6.3,6.6,0.2,3.9,—,0.4,93800,Bachelor's degree,None,None
Nuclear engineers,17-2161,Line item,17.2,15.8,-1.5,-8.4,6.3,0.9,116140,Bachelor's degree,None,None
Petroleum engineers,17-2171,Line item,28.5,30.7,2.2,7.6,0.3,2.1,137330,Bachelor's degree,None,None
"Engineers, all other",17-2199,Line item,167.1,171.6,4.4,2.7,5.9,11,103380,Bachelor's degree,None,None
"Drafters, engineering technicians, and mapping technicians",17-3000,Summary,674,687,13,1.9,0.8,65.8,58900,—,—,—
Drafters,17-3010,Summary,191.8,188.2,-3.6,-1.9,1.7,17.5,57960,—,—,—
Architectural and civil drafters,17-3011,Line item,99.9,99,-0.9,-0.9,0.5,9.3,57500,Associate's degree,None,None
Electrical and electronics drafters,17-3012,Line item,24,24.5,0.6,2.3,3.1,2.3,62100,Associate's degree,None,None
Mechanical drafters,17-3013,Line item,53.6,51,-2.5,-4.7,3.1,4.7,58270,Associate's degree,None,None
"Drafters, all other",17-3019,Line item,14.4,13.6,-0.8,-5.4,3,1.2,54500,Associate's degree,None,None
"Engineering technologists and technicians, except drafters",17-3020,Summary,332.7,343.1,10.4,3.1,0.3,32,61000,—,—,—
Aerospace engineering and operations technologists and technicians,17-3021,Line item,11.9,12.9,1.1,8.9,—,1.2,68570,Associate's degree,None,None
Civil engineering technologists and technicians,17-3022,Line item,68.8,70,1.2,1.8,0.2,6.5,54080,Associate's degree,None,None
Electrical and electronic engineering technologists and technicians,17-3023,Line item,117,118.9,1.9,1.6,0.4,11,67550,Associate's degree,None,None
Electro-mechanical and mechatronics technologists and technicians,17-3024,Line item,13.4,13.1,-0.2,-1.7,—,1.2,59800,Associate's degree,None,None
Environmental engineering technologists and technicians,17-3025,Line item,17.3,18.6,1.3,7.8,—,1.8,51630,Associate's degree,None,None
Industrial engineering technologists and technicians,17-3026,Line item,64.1,66.9,2.8,4.4,0.3,6.3,57320,Associate's degree,None,None
Mechanical engineering technologists and technicians,17-3027,Line item,40.4,42.7,2.3,5.7,0.3,4,58230,Associate's degree,None,None
Surveying and mapping technicians,17-3031,Line item,54.8,56.9,2,3.7,2.2,7,46200,High school diploma or equivalent,None,Moderate-term on-the-job training
"Calibration technologists and technicians and engineering technologists and technicians, except drafters, all other",17-3098,Line item,94.7,98.8,4.1,4.4,0.2,9.3,64190,Associate's degree,None,None
"Life, physical, and social science occupations",19-0000,Summary,"1,444.00","1,557.80",113.8,7.9,5.2,147.5,69760,—,—,—
Life scientists,19-1000,Summary,346.1,383.1,37,10.7,3.1,33.6,81130,—,—,—
Agricultural and food scientists,19-1010,Summary,37.4,40.6,3.2,8.7,6.5,4.4,68830,—,—,—
Animal scientists,19-1011,Line item,3.5,3.9,0.3,9.7,5.3,0.4,63490,Bachelor's degree,None,None
Food scientists and technologists,19-1012,Line item,15,16.1,1,6.7,8.6,1.7,73450,Bachelor's degree,None,None
Soil and plant scientists,19-1013,Line item,18.8,20.7,1.9,10,5.1,2.3,66120,Bachelor's degree,None,None
Biological scientists,19-1020,Summary,121,126.3,5.3,4.4,3.7,11.2,83220,—,—,—
Biochemists and biophysicists,19-1021,Line item,34.8,36.5,1.6,4.7,5.6,3.2,94270,Doctoral or professional degree,None,None
Microbiologists,19-1022,Line item,21.4,22.4,1,4.6,4.3,2,84400,Bachelor's degree,None,None
Zoologists and wildlife biologists,19-1023,Line item,18.5,19.5,1,5.2,1.4,1.7,66350,Bachelor's degree,None,None
"Biological scientists, all other",19-1029,Line item,46.2,47.9,1.7,3.7,2.8,4.2,85290,Bachelor's degree,None,None
Conservation scientists and foresters,19-1030,Summary,39,41.9,2.9,7.5,8.3,4,64010,—,—,—
Conservation scientists,19-1031,Line item,25.3,26.8,1.5,6.1,7.1,2.5,64020,Bachelor's degree,None,None
Foresters,19-1032,Line item,13.7,15.1,1.4,10,10.5,1.4,63980,Bachelor's degree,None,None
Medical scientists,19-1040,Summary,141.8,166.7,24.9,17.6,0.4,13.4,90010,—,—,—
Epidemiologists,19-1041,Line item,7.8,10.2,2.3,29.6,—,0.9,74560,Master's degree,None,None
"Medical scientists, except epidemiologists",19-1042,Line item,133.9,156.6,22.6,16.9,0.5,12.6,91510,Doctoral or professional degree,None,None
"Life scientists, all other",19-1099,Line item,7,7.6,0.6,8.4,—,0.6,82000,Bachelor's degree,None,None
Physical scientists,19-2000,Summary,269.1,287.6,18.5,6.9,1.3,26.6,83250,—,—,—
Astronomers and physicists,19-2010,Summary,19.5,21.1,1.6,8.3,0.6,1.5,128950,—,—,—
Astronomers,19-2011,Line item,2.1,2.2,0.1,4.5,—,0.2,119730,Doctoral or professional degree,None,None
Physicists,19-2012,Line item,17.4,18.9,1.5,8.8,0.6,1.3,129850,Doctoral or professional degree,None,None
Atmospheric and space scientists,19-2021,Line item,10.7,11.6,0.9,8.3,—,1,99740,Bachelor's degree,None,None
Chemists and materials scientists,19-2030,Summary,92.4,98.4,6,6.5,0.3,9.1,80680,—,—,—
Chemists,19-2031,Line item,85.4,91.1,5.7,6.7,0.3,8.4,79300,Bachelor's degree,None,None
Materials scientists,19-2032,Line item,7.1,7.3,0.3,3.9,—,0.7,99460,Bachelor's degree,None,None
Environmental scientists and geoscientists,19-2040,Summary,122.6,132.3,9.7,7.9,0.3,13.2,77520,—,—,—
"Environmental scientists and specialists, including health",19-2041,Line item,87.1,94.4,7.3,8.4,0.2,9.4,73230,Bachelor's degree,None,None
"Geoscientists, except hydrologists and geographers",19-2042,Line item,29,31,2,7,0.8,3.1,93580,Bachelor's degree,None,None
Hydrologists,19-2043,Line item,6.5,6.9,0.4,5.6,—,0.7,84040,Bachelor's degree,None,None
"Physical scientists, all other",19-2099,Line item,23.9,24.2,0.2,1,11.2,1.8,107210,Bachelor's degree,None,None
Social scientists and related workers,19-3000,Summary,312.3,334.2,21.9,7,17.4,25.8,82280,—,—,—
Economists,19-3011,Line item,18.6,21,2.4,13.1,—,1.6,108350,Master's degree,None,None
Survey researchers,19-3022,Line item,12.7,13.2,0.5,4.3,15.2,1.2,59870,Master's degree,None,None
Psychologists,19-3030,Summary,178.9,192.4,13.5,7.6,27,13.4,82180,—,—,—
"Clinical, counseling, and school psychologists",19-3031,Line item,118.8,131.1,12.3,10.4,4.4,9.4,79820,Doctoral or professional degree,None,Internship/residency
Industrial-organizational psychologists,19-3032,Line item,4.9,5,0.1,2.2,82.8,0.3,96270,Master's degree,None,Internship/residency
"Psychologists, all other",19-3039,Line item,55.2,56.3,1.1,2,70.6,3.7,105780,Master's degree,None,Internship/residency
Sociologists,19-3041,Line item,3,3.1,0.1,4.8,10.8,0.3,86110,Master's degree,None,None
Urban and regional planners,19-3051,Line item,39.1,41.8,2.7,6.8,0.5,3.7,75950,Master's degree,None,None
Miscellaneous social scientists and related workers,19-3090,Summary,60.2,62.7,2.6,4.3,6.1,5.6,85890,—,—,—
Anthropologists and archeologists,19-3091,Line item,8.5,9.1,0.6,7.4,12.1,0.8,66130,Master's degree,None,None
Geographers,19-3092,Line item,1.6,1.7,0,1.1,—,0.1,85430,Bachelor's degree,None,None
Historians,19-3093,Line item,3.1,3.3,0.2,5.5,6.1,0.3,63100,Master's degree,None,None
Political scientists,19-3094,Line item,7,7.6,0.6,8.6,6.8,0.7,125350,Master's degree,None,None
"Social scientists and related workers, all other",19-3099,Line item,39.9,41.1,1.2,2.9,4.8,3.7,87260,Bachelor's degree,None,None
"Life, physical, and social science technicians",19-4000,Summary,397.2,424.8,27.6,7,1.7,51.9,48440,—,—,—
Agricultural and food science technicians,19-4010,Line item,26.6,28.7,2.1,7.9,0.7,3.7,41970,Associate's degree,None,Moderate-term on-the-job training
Biological technicians,19-4021,Line item,87.6,93.5,5.9,6.7,0.1,11.8,46340,Bachelor's degree,None,None
Chemical technicians,19-4031,Line item,65.1,68.4,3.3,5,1.7,7.5,49820,Associate's degree,None,Moderate-term on-the-job training
Environmental science and geoscience technicians,19-4040,Summary,51,56.1,5.1,9.9,3.5,7,47740,—,—,—
"Environmental science and protection technicians, including health",19-4042,Line item,34.2,37.8,3.6,10.6,3.3,4.7,46850,Associate's degree,None,None
Geological and hydrologic technicians,19-4045,Line item,16.8,18.3,1.5,8.7,4,2.3,50630,Associate's degree,None,Moderate-term on-the-job training
Nuclear technicians,19-4051,Line item,6.6,5.8,-0.8,-12.4,4.6,0.7,84190,Associate's degree,None,Moderate-term on-the-job training
Social science research assistants,19-4061,Line item,40.4,43.8,3.4,8.4,2.8,5.4,49210,Bachelor's degree,None,None
Forest and conservation technicians,19-4071,Line item,33,33.3,0.2,0.7,0.2,4,38940,Associate's degree,None,None
"Miscellaneous life, physical, and social science technicians",19-4090,Summary,86.9,95.3,8.5,9.7,2.4,11.8,53980,—,—,—
Forensic science technicians,19-4092,Line item,17.2,19.8,2.7,15.6,0.5,2.5,60590,Bachelor's degree,None,Moderate-term on-the-job training
"Life, physical, and social science technicians, all other",19-4099,Line item,69.7,75.5,5.8,8.3,2.9,9.3,52460,Associate's degree,None,None
Occupational health and safety specialists and technicians,19-5000,Summary,119.2,128,8.8,7.4,0.2,9.6,72530,—,—,—
Occupational health and safety specialists,19-5011,Line item,98,104.8,6.8,7,0.2,7.8,76340,Bachelor's degree,None,None
Occupational health and safety technicians,19-5012,Line item,21.3,23.2,1.9,9,0.3,1.8,53340,High school diploma or equivalent,None,Moderate-term on-the-job training
Community and social service occupations,21-0000,Summary,"2,804.40","3,151.30",346.9,12.4,3.7,327.5,47520,—,—,—
"Counselors, social workers, and other community and social service specialists",21-1000,Summary,"2,328.00","2,663.70",335.7,14.4,3.7,274.6,47500,—,—,—
Counselors,21-1010,Summary,881.5,"1,021.20",139.7,15.8,7.6,101.3,50270,—,—,—
"Educational, guidance, and career counselors and advisors",21-1012,Line item,322,359,37,11.5,2.4,35,58120,Master's degree,None,None
Marriage and family therapists,21-1013,Line item,73.2,85.1,12,16.4,14.7,8.5,51340,Master's degree,None,Internship/residency
Rehabilitation counselors,21-1015,Line item,104.5,115.4,10.8,10.4,3,11.2,37530,Master's degree,None,None
"Substance abuse, behavioral disorder, and mental health counselors",21-1018,Line item,327.5,402.6,75.1,22.9,6.1,41,47660,Bachelor's degree,None,None
"Counselors, all other",21-1019,Line item,54.3,59.2,4.8,8.9,46.2,5.7,45760,Master's degree,None,None
Social workers,21-1020,Summary,715.6,804.8,89.2,12.5,2,78.3,51760,—,—,—
"Child, family, and school social workers",21-1021,Line item,335.3,377.4,42.2,12.6,0.1,36.7,48430,Bachelor's degree,None,None
Healthcare social workers,21-1022,Line item,184.9,209.3,24.4,13.2,1.7,20.4,57630,Master's degree,None,Internship/residency
Mental health and substance abuse social workers,21-1023,Line item,124,142.5,18.5,14.9,2.9,14,48720,Master's degree,None,Internship/residency
"Social workers, all other",21-1029,Line item,71.4,75.5,4.1,5.8,10.5,7.1,64210,Bachelor's degree,None,None
Miscellaneous community and social service specialists,21-1090,Summary,730.9,837.7,106.7,14.6,0.6,95,40330,—,—,—
Health education specialists,21-1091,Line item,61.1,68.7,7.6,12.4,0.8,7.4,56500,Bachelor's degree,None,None
Probation officers and correctional treatment specialists,21-1092,Line item,92.7,96.2,3.5,3.8,—,8.1,55690,Bachelor's degree,None,Short-term on-the-job training
Social and human service assistants,21-1093,Line item,417.6,487.1,69.5,16.6,0.7,59.1,35960,High school diploma or equivalent,None,Short-term on-the-job training
Community health workers,21-1094,Line item,64.1,77.6,13.5,21,0.9,8.6,42000,High school diploma or equivalent,None,Short-term on-the-job training
"Community and social service specialists, all other",21-1099,Line item,95.5,108.2,12.7,13.3,0.6,11.7,46770,Bachelor's degree,None,None
Religious workers,21-2000,Summary,476.4,487.6,11.2,2.3,3.6,52.9,48430,—,—,—
Clergy,21-2011,Line item,260.6,267.2,6.6,2.5,4.8,26.7,51940,Bachelor's degree,None,Moderate-term on-the-job training
